Date,Positive,Pred 1,Pred 2,Pred 3,Pred 4
4/1/2021,0,,,,
4/2/2021,0,,,,
4/3/2021,0,,,,
4/4/2021,0,,,,
4/5/2021,4,,,,
4/6/2021,0,,,,
4/7/2021,0,,,,
4/8/2021,0,,,,
4/9/2021,0,,,,
4/10/2021,0,,,,
4/11/2021,3,,,,
4/12/2021,3,,,,
4/13/2021,0,,,,
4/14/2021,0,,,,
4/15/2021,0,,,,
4/16/2021,0,,,,
4/17/2021,0,,,,
4/18/2021,0,,,,
4/19/2021,20,,,,
4/20/2021,0,,,,
4/21/2021,0,,,,
4/22/2021,0,,,,
4/23/2021,0,,,,
4/24/2021,0,,,,
4/25/2021,0,,,,
4/26/2021,6,,,,
4/27/2021,0,,,,
4/28/2021,0,,,,
4/29/2021,0,,,,
4/30/2021,0,,,,
5/1/2021,0,,,,
5/2/2021,0,,,,
5/3/2021,0,,,,
5/4/2021,0,,,,
5/5/2021,0,,,,
5/6/2021,10,,,,
5/7/2021,0,,,,
5/8/2021,0,,,,
5/9/2021,0,,,,
5/10/2021,0,,,,
5/11/2021,0,,,,
5/12/2021,0,,,,
5/13/2021,0,,,,
5/14/2021,0,,,,
5/15/2021,0,,,,
5/16/2021,0,,,,
5/17/2021,0,,,,
5/18/2021,0,,,,
5/19/2021,0,,,,
5/20/2021,0,,,,
5/21/2021,0,,,,
5/22/2021,0,,,,
5/23/2021,0,,,,
5/24/2021,0,,,,
5/25/2021,0,,,,
5/26/2021,0,,,,
5/27/2021,0,,,,
5/28/2021,0,,,,
5/29/2021,0,,,,
5/30/2021,0,,,,
5/31/2021,0,,,,
6/1/2021,0,,,,
6/2/2021,0,,,,
6/3/2021,0,,,,
6/4/2021,0,,,,
6/5/2021,0,,,,
6/6/2021,0,,,,
6/7/2021,0,,,,
6/8/2021,0,,,,
6/9/2021,0,,,,
6/10/2021,0,,,,
6/11/2021,0,,,,
6/12/2021,0,,,,
6/13/2021,0,,,,
6/14/2021,1,,,,
6/15/2021,0,,,,
