wardIndex,wardName,wardNo,area(sq km),totalPopulation
0,Colaba,1,12.5,185014
1,Sandhurst Road,2,2.5,127290
2,Marine Lines,3,1.8,166161
3,Grant Road,4,6.6,346866
4,Byculla,5,7.4,393286
5,Matunga,6,13,529034
6,Parel,7,14,360972
7,Dadar/Plaza,8,9.1,377749
8,Elphinstone,9,10,599039
9,Khar/Santacruz,10,13.5,307581
10,Bandra,11,11.6,557239
11,Andheri (East),12,24.8,823885
12,Andheri (West),13,23.4,748688
13,Kurla,14,15.9,902225
14,Chembur,15,32.5,807720
15,Chembur (West),16,19.5,411893
16,Ghatkopar,17,26,622853
17,Malad,18,19.1,941366
18,Goregaon,19,24.4,463507
19,Borivali,20,50,562162
20,Dahisar,21,18,431368
21,Kandivali,22,17.8,691229
22,Bhandup,23,64,743783
23,Mulund,24,45.4,341463
