wardIndex,wardNo,Alphabet,wardName,area.sq.km.,totalPopulation,hd_flag
0,1,A,Colaba,12.5,131544,0
1,2,B,Sandhurst Road,2.5,110360,0
2,3,C,Marine Lines,1.8,166161,0
3,4,D,Grant Road,6.6,312526,0
4,5,E,Byculla,7.4,346484,0
5,6,F/N,Matunga,13,221665,0
6,7,F/S,Parel,14,231744,0
7,8,G/N,Dadar/Plaza,10,264775,0
8,9,G/S,Elphinstone,9.1,252714,0
9,10,H/E,Khar/Santacruz,13.5,118134,0
10,11,H/W,Bandra,11.6,181165,0
11,12,K/E,Andheri (East),24.8,343560,0
12,13,K/W,Andheri (West),23.4,411029,0
13,14,L,Kurla,15.9,138040,0
14,15,M/E,Chembur (East),32.5,181737,0
15,16,M/W,Chembur (West),19.5,129746,0
16,17,N,Ghatkopar,26,185610,0
17,18,P/N,Malad,19.1,341715,0
18,19,P/S,Goregaon,24.4,240560,0
19,20,R/C,Borivali,50,372713,0
20,21,R/N,Dahisar,18,230350,0
21,22,R/S,Kandivali,17.8,308979,0
22,23,S,Bhandup,64,105617,0
23,24,T,Mulund,45.4,221268,0
24,25,A_hd,Colaba_hd,12.5,53469,1
25,26,B_hd,Sandhurst Road_hd,2.5,16929,1
26,27,C_hd,Marine Lines_hd,1.8,0,1
27,28,D_hd,Grant Road_hd,6.6,34339,1
28,29,E_hd,Byculla_hd,7.4,46801,1
29,30,F/N_hd,Matunga_hd,13,307368,1
30,31,F/S_hd,Parel_hd,14,129227,1
31,32,G/N_hd,Dadar/Plaza_hd,10,334263,1
32,33,G/S_hd,Elphinstone_hd,9.1,125034,1
33,34,H/E_hd,Khar/Santacruz_hd,13.5,439104,1
34,35,H/W_hd,Bandra_hd,11.6,126415,1
35,36,K/E_hd,Andheri (East)_hd,24.8,480324,1
36,37,K/W_hd,Andheri (West)_hd,23.4,337658,1
37,38,L_hd,Kurla_hd,15.9,764184,1
38,39,M/E_hd,Chembur (East)_hd,32.5,625983,1
39,40,M/W_hd,Chembur (West)_hd,19.5,282146,1
40,41,N_hd,Ghatkopar_hd,26,437242,1
41,42,P/N_hd,Malad_hd,19.1,599650,1
42,43,P/S_hd,Goregaon_hd,24.4,222946,1
43,44,R/C_hd,Borivali_hd,50,189448,1
44,45,R/N_hd,Dahisar_hd,18,201017,1
45,46,R/S_hd,Kandivali_hd,17.8,382249,1
46,47,S_hd,Bhandup_hd,64,638165,1
47,48,T_hd,Mulund_hd,45.4,120194,1
