wardIndex,wardNo,Alphabet,wardName,totalPopulation,Employed,hd_flag,Unemployed
0,1,A,Colaba,131544,59589,0,71955
1,2,B,Sandhurst Road,110360,43592,0,66768
2,3,C,Marine Lines,166161,79258,0,86903
3,4,D,Grant Road,312526,137824,0,174702
4,5,E,Byculla,346484,140672,0,205812
5,6,F/N,Matunga,221665,87114,0,134551
6,7,F/S,Parel,231744,90611,0,141133
7,8,G/N,Dadar/Plaza,264775,110411,0,154364
8,9,G/S,Elphinstone,252714,106392,0,146322
9,10,H/E,Khar/Santacruz,118134,48907,0,69227
10,11,H/W,Bandra,181165,78082,0,103083
11,12,K/E,Andheri (East),343560,141890,0,201670
12,13,K/W,Andheri (West),411029,172221,0,238808
13,14,L,Kurla,138040,52593,0,85447
14,15,M/E,Chembur (East),181737,64153,0,117584
15,16,M/W,Chembur (West),129746,52936,0,76810
16,17,N,Ghatkopar,185610,72016,0,113594
17,18,P/N,Malad,341715,134977,0,206738
18,19,P/S,Goregaon,240560,100073,0,140487
19,20,R/C,Borivali,372713,149830,0,222883
20,21,R/N,Dahisar,230350,94674,0,135676
21,22,R/S,Kandivali,308979,126063,0,182916
22,23,S,Bhandup,105617,41401,0,64216
23,24,T,Mulund,221268,88949,0,132319
24,25,A_hd,Colaba_hd,53469,24221,1,29248
25,26,B_hd,Sandhurst Road_hd,16929,6687,1,10242
26,27,C_hd,Marine Lines_hd,0,0,1,0
27,28,D_hd,Grant Road_hd,34339,15143,1,19196
28,29,E_hd,Byculla_hd,46801,19001,1,27800
29,30,F/N_hd,Matunga_hd,307368,120795,1,186573
30,31,F/S_hd,Parel_hd,129227,50528,1,78699
31,32,G/N_hd,Dadar/Plaza_hd,334263,139387,1,194876
32,33,G/S_hd,Elphinstone_hd,125034,52639,1,72395
33,34,H/E_hd,Khar/Santacruz_hd,439104,181789,1,257315
34,35,H/W_hd,Bandra_hd,126415,54485,1,71930
35,36,K/E_hd,Andheri (East)_hd,480324,198374,1,281950
36,37,K/W_hd,Andheri (West)_hd,337658,141478,1,196180
37,38,L_hd,Kurla_hd,764184,291154,1,473030
38,39,M/E_hd,Chembur (East)_hd,625983,220971,1,405012
39,40,M/W_hd,Chembur (West)_hd,282146,115115,1,167031
40,41,N_hd,Ghatkopar_hd,437242,169650,1,267592
41,42,P/N_hd,Malad_hd,599650,236861,1,362789
42,43,P/S_hd,Goregaon_hd,222946,92745,1,130201
43,44,R/C_hd,Borivali_hd,189448,76158,1,113290
44,45,R/N_hd,Dahisar_hd,201017,82618,1,118399
45,46,R/S_hd,Kandivali_hd,382249,155957,1,226292
46,47,S_hd,Bhandup_hd,638165,250160,1,388005
47,48,T_hd,Mulund_hd,120194,48318,1,71876
