Time,num_cumulative_infective
0,0
0.25,8
0.5,19
0.75,25
1,34
1.25,40
1.5,44
1.75,51
2,56
2.25,61
2.5,70
2.75,75
3,77
3.25,80
3.5,83
3.75,84
4,84
4.25,87
4.5,90
4.75,90
5,91
5.25,91
5.5,94
5.75,94
6,95
6.25,97
6.5,97
6.75,100
7,100
7.25,101
7.5,101
7.75,102
8,104
8.25,104
8.5,105
8.75,106
9,106
9.25,107
9.5,107
9.75,108
10,108
10.25,108
10.5,109
10.75,109
11,110
11.25,110
11.5,111
11.75,111
12,111
12.25,112
12.5,112
12.75,112
13,112
13.25,114
13.5,115
13.75,115
14,115
14.25,115
14.5,117
14.75,117
15,118
15.25,118
15.5,118
15.75,118
16,120
16.25,120
16.5,120
16.75,120
17,121
17.25,121
17.5,124
17.75,125
18,126
18.25,126
18.5,126
18.75,126
19,127
19.25,127
19.5,127
19.75,128
20,128
20.25,128
20.5,128
20.75,130
21,130
21.25,130
21.5,130
21.75,130
22,131
22.25,133
22.5,135
22.75,135
23,135
23.25,137
23.5,137
23.75,137
24,137
24.25,137
24.5,138
24.75,138
25,138
25.25,139
25.5,141
25.75,141
26,142
26.25,142
26.5,143
26.75,143
27,143
27.25,144
27.5,144
27.75,144
28,145
28.25,145
28.5,146
28.75,146
29,146
29.25,146
29.5,146
29.75,146
30,146
30.25,146
30.5,146
30.75,146
31,146
31.25,146
31.5,146
31.75,146
32,146
32.25,146
32.5,147
32.75,148
33,148
33.25,149
33.5,149
33.75,149
34,150
34.25,151
34.5,151
34.75,151
35,151
35.25,151
35.5,151
35.75,152
36,152
36.25,152
36.5,153
36.75,153
37,153
37.25,153
37.5,153
37.75,153
38,153
38.25,153
38.5,153
38.75,153
39,153
39.25,154
39.5,155
39.75,155
40,155
40.25,155
40.5,155
40.75,155
41,155
41.25,155
41.5,155
41.75,155
42,155
42.25,155
42.5,155
42.75,155
43,155
43.25,155
43.5,155
43.75,155
44,155
44.25,155
44.5,155
44.75,155
45,156
45.25,157
45.5,158
45.75,158
46,158
46.25,158
46.5,158
46.75,158
47,158
47.25,158
47.5,158
47.75,158
48,158
48.25,158
48.5,158
48.75,158
49,158
49.25,158
49.5,158
49.75,158
50,158
50.25,158
50.5,158
50.75,159
51,159
51.25,159
51.5,159
51.75,159
52,159
52.25,159
52.5,159
52.75,159
53,159
53.25,159
53.5,159
53.75,159
54,159
54.25,159
54.5,159
54.75,159
55,159
55.25,159
55.5,159
55.75,159
56,159
56.25,159
56.5,159
56.75,159
57,159
57.25,159
57.5,159
57.75,159
58,159
58.25,159
58.5,159
58.75,159
59,159
59.25,159
59.5,159
59.75,159
60,159
60.25,159
60.5,159
60.75,159
61,159
61.25,159
61.5,159
61.75,159
62,159
62.25,159
62.5,159
62.75,159
63,159
63.25,159
63.5,159
63.75,159
64,159
64.25,159
64.5,159
64.75,159
65,159
65.25,159
65.5,159
65.75,159
66,159
66.25,159
66.5,159
66.75,159
67,159
67.25,159
67.5,159
67.75,159
68,159
68.25,159
68.5,159
68.75,159
69,159
69.25,159
69.5,159
69.75,159
70,159
70.25,159
70.5,159
70.75,159
71,159
71.25,159
71.5,159
71.75,159
72,159
72.25,159
72.5,159
72.75,159
73,159
73.25,159
73.5,159
73.75,159
74,159
74.25,159
74.5,159
74.75,159
75,159
75.25,159
75.5,159
75.75,159
76,159
76.25,159
76.5,159
76.75,159
77,159
77.25,159
77.5,159
77.75,159
78,159
78.25,159
78.5,159
78.75,159
79,159
79.25,159
79.5,159
79.75,159
80,159
80.25,159
80.5,159
80.75,159
81,159
81.25,159
81.5,159
81.75,159
82,159
82.25,159
82.5,159
82.75,159
83,159
83.25,159
83.5,159
83.75,159
84,159
84.25,159
84.5,159
84.75,159
85,159
85.25,159
85.5,159
85.75,159
86,159
86.25,159
86.5,159
86.75,159
87,159
87.25,159
87.5,159
87.75,159
88,159
88.25,159
88.5,159
88.75,159
89,159
89.25,159
89.5,159
89.75,159
90,159
90.25,159
90.5,159
90.75,159
91,159
91.25,159
91.5,159
91.75,159
92,159
92.25,159
92.5,159
92.75,159
93,159
93.25,159
93.5,159
93.75,159
94,159
94.25,159
94.5,159
94.75,159
95,159
95.25,159
95.5,159
95.75,159
96,159
96.25,159
96.5,159
96.75,159
97,159
97.25,159
97.5,159
97.75,159
98,159
98.25,159
98.5,159
98.75,159
99,159
99.25,159
99.5,159
99.75,159
100,159
100.25,159
100.5,159
100.75,159
101,159
101.25,159
101.5,159
101.75,159
102,159
102.25,159
102.5,159
102.75,159
103,159
103.25,159
103.5,159
103.75,159
104,159
104.25,159
104.5,159
104.75,159
105,159
105.25,159
105.5,159
105.75,159
106,159
106.25,159
106.5,159
106.75,159
107,159
107.25,159
107.5,159
107.75,159
108,159
108.25,159
108.5,159
108.75,159
109,159
109.25,159
109.5,159
109.75,159
110,159
110.25,159
110.5,159
110.75,159
111,159
111.25,159
111.5,159
111.75,159
112,159
112.25,159
112.5,159
112.75,159
113,159
113.25,159
113.5,159
113.75,159
114,159
114.25,159
114.5,159
114.75,159
115,159
115.25,159
115.5,159
115.75,159
116,159
116.25,159
116.5,159
116.75,159
117,159
117.25,159
117.5,159
117.75,159
118,159
118.25,159
118.5,159
118.75,159
119,159
119.25,159
119.5,159
119.75,159
