Time,num_exposed
0,100
0.25,92
0.5,81
0.75,75
1,66
1.25,61
1.5,59
1.75,52
2,47
2.25,42
2.5,33
2.75,28
3,26
3.25,24
3.5,21
3.75,20
4,20
4.25,18
4.5,15
4.75,15
5,18
5.25,18
5.5,15
5.75,16
6,15
6.25,13
6.5,13
6.75,10
7,10
7.25,9
7.5,9
7.75,9
8,10
8.25,10
8.5,9
8.75,8
9,8
9.25,8
9.5,9
9.75,8
10,9
10.25,10
10.5,9
10.75,9
11,9
11.25,10
11.5,9
11.75,9
12,9
12.25,8
12.5,10
12.75,10
13,10
13.25,8
13.5,8
13.75,10
14,11
14.25,11
14.5,10
14.75,10
15,9
15.25,9
15.5,9
15.75,10
16,9
16.25,9
16.5,10
16.75,12
17,11
17.25,12
17.5,10
17.75,9
18,9
18.25,9
18.5,9
18.75,9
19,8
19.25,9
19.5,9
19.75,9
20,10
20.25,11
20.5,12
20.75,10
21,11
21.25,11
21.5,11
21.75,11
22,11
22.25,9
22.5,7
22.75,7
23,7
23.25,6
23.5,6
23.75,6
24,8
24.25,8
24.5,7
24.75,9
25,9
25.25,8
25.5,6
25.75,6
26,5
26.25,5
26.5,4
26.75,4
27,4
27.25,3
27.5,4
27.75,4
28,3
28.25,3
28.5,2
28.75,2
29,3
29.25,3
29.5,3
29.75,4
30,4
30.25,4
30.5,4
30.75,5
31,5
31.25,5
31.5,5
31.75,6
32,6
32.25,7
32.5,6
32.75,5
33,5
33.25,4
33.5,4
33.75,4
34,3
34.25,2
34.5,2
34.75,3
35,3
35.25,3
35.5,4
35.75,3
36,3
36.25,3
36.5,2
36.75,2
37,3
37.25,3
37.5,4
37.75,4
38,4
38.25,4
38.5,4
38.75,4
39,4
39.25,3
39.5,2
39.75,2
40,2
40.25,2
40.5,2
40.75,2
41,2
41.25,2
41.5,2
41.75,2
42,2
42.25,2
42.5,2
42.75,2
43,2
43.25,2
43.5,2
43.75,3
44,3
44.25,3
44.5,4
44.75,4
45,3
45.25,2
45.5,1
45.75,1
46,1
46.25,1
46.5,1
46.75,1
47,1
47.25,1
47.5,1
47.75,1
48,1
48.25,1
48.5,1
48.75,1
49,1
49.25,1
49.5,1
49.75,1
50,1
50.25,1
50.5,1
50.75,0
51,0
51.25,0
51.5,0
51.75,0
52,0
52.25,0
52.5,0
52.75,0
53,0
53.25,0
53.5,0
53.75,0
54,0
54.25,0
54.5,0
54.75,0
55,0
55.25,0
55.5,0
55.75,0
56,0
56.25,0
56.5,0
56.75,0
57,0
57.25,0
57.5,0
57.75,0
58,0
58.25,0
58.5,0
58.75,0
59,0
59.25,0
59.5,0
59.75,0
60,0
60.25,0
60.5,0
60.75,0
61,0
61.25,0
61.5,0
61.75,0
62,0
62.25,0
62.5,0
62.75,0
63,0
63.25,0
63.5,0
63.75,0
64,0
64.25,0
64.5,0
64.75,0
65,0
65.25,0
65.5,0
65.75,0
66,0
66.25,0
66.5,0
66.75,0
67,0
67.25,0
67.5,0
67.75,0
68,0
68.25,0
68.5,0
68.75,0
69,0
69.25,0
69.5,0
69.75,0
70,0
70.25,0
70.5,0
70.75,0
71,0
71.25,0
71.5,0
71.75,0
72,0
72.25,0
72.5,0
72.75,0
73,0
73.25,0
73.5,0
73.75,0
74,0
74.25,0
74.5,0
74.75,0
75,0
75.25,0
75.5,0
75.75,0
76,0
76.25,0
76.5,0
76.75,0
77,0
77.25,0
77.5,0
77.75,0
78,0
78.25,0
78.5,0
78.75,0
79,0
79.25,0
79.5,0
79.75,0
80,0
80.25,0
80.5,0
80.75,0
81,0
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0
84.5,0
84.75,0
85,0
85.25,0
85.5,0
85.75,0
86,0
86.25,0
86.5,0
86.75,0
87,0
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
